,Pos,Club,Country,05/06,06/07,07/08,08/09,09/10,Pts,NA
187,188,RAN  Randers FC  Randers,DEN,-,0.000,-,-,1.000,1.0,5.47
188,189,CMV  PFC Cherno More AD  Cherno More,BUL,-,-,-,1.000,1.000,2.0,4.4
189,190,MOT  Motherwell FC  Motherwell,SCO,-,-,-,0.000,1.000,1.0,5.158
190,191,HIB  Hibernian FC  Hibernian,SCO,1.000,-,-,-,-,1.0,5.158
191,192,ATR  Atromitos FC  Atromitos,GRE,-,0.000,-,-,-,0.0,5.979
192,193,SIG  SK Sigma Olomouc  Sigma,CZE,-,-,-,-,1.500,1.5,4.395
193,194,KAL  Kalmar FF  Kalmar,SWE,-,-,-,2.000,1.000,3.0,2.838
194,195,MAC  Maccabi Petah Tikva FC  M. Petah Tikva,ISR,2.000,-,-,-,-,2.0,3.775
195,196,BEL  AC Bellinzona  Bellinzona,SUI,-,-,-,0.000,-,0.0,5.675
196,197,FAL  Falkirk FC  Falkirk,SCO,-,-,-,-,0.500,0.5,5.158
197,198,ROE  KSV Roeselare  Roeselare,BEL,-,0.000,-,-,-,0.0,5.58
198,199,VÅL  Vålerenga Fotball Elite  Vålerenga,NOR,0.000,0.000,1.000,-,1.000,2.0,3.48
199,200,MID  FC Midtjylland  Midtjylland,DEN,0.000,-,0.000,0.000,-,0.0,5.47
200,201,NRS  FC Nordsjælland  Nordsjælland,DEN,-,-,-,0.000,-,0.0,5.47
201,202,ESB  Esbjerg fB  Esbjerg,DEN,0.000,-,-,-,-,0.0,5.47
202,203,SHF  FC Sheriff Tiraspol  Sheriff,MDA,0.000,0.000,0.000,0.000,4.000,4.0,1.458
203,204,DEB  Debreceni VSC  Debrecen,HUN,0.000,0.000,0.000,0.000,4.000,4.0,1.35
204,205,BNE  Bnei Yehuda Tel-Aviv FC  Bnei Yehuda,ISR,-,0.000,-,-,1.500,1.5,3.775
205,206,QOS  Queen of the South FC  Queen of the South,SCO,-,-,-,0.000,-,0.0,5.158
206,207,DUN  Dunfermline Athletic FC  Dunfermline,SCO,-,-,0.000,-,-,0.0,5.158
207,208,GRE  Gretna FC  Gretna,SCO,-,0.000,-,-,-,0.0,5.158
208,209,DUN  Dundee United FC  Dundee United,SCO,0.000,-,-,-,-,0.0,5.158
209,210,STA  Stabæk Fotball  Stabæk,NOR,-,-,-,0.000,1.500,1.5,3.48
210,211,HAM  Hammarby Fotboll  Hammarby,SWE,-,-,2.000,-,-,2.0,2.838
211,212,HAL  Halmstads BK  Halmstad,SWE,2.000,-,-,-,-,2.0,2.838
212,212,MAL  Malmö FF  Malmö,SWE,2.000,-,-,-,-,2.0,2.838
213,214,MAC  Maccabi Netanya FC  M. Netanya,ISR,-,-,0.000,0.000,1.000,1.0,3.775
214,215,SVB  ŠK Slovan Bratislava  Slovan Bratislava,SVK,-,-,-,-,1.500,1.5,3.166
215,215,KOS  MFK Košice  Košice,SVK,-,-,-,-,1.500,1.5,3.166
216,217,VEN  FK Ventspils  Ventspils,LVA,0.000,0.000,0.000,0.000,3.000,3.0,1.649
217,218,OMO  Omonoia FC  Omonoia,CYP,0.000,0.000,0.000,0.000,1.000,1.0,3.599
218,219,APO  APOP/Kinyras Peyias FC  APOP,CYP,-,-,-,-,1.000,1.0,3.599
219,220,ACH  Ethnikos Achnas FC  Ethnikos Achnas,CYP,-,1.000,-,-,-,1.0,3.599
220,221,LEG  Legia Warszawa  Legia,POL,0.000,1.000,-,0.000,1.000,2.0,2.508
221,222,FRE  Fredrikstad FK  Fredrikstad,NOR,-,-,0.000,-,1.000,1.0,3.48
222,223,MOL  Molde FK  Molde,NOR,-,1.000,-,-,-,1.0,3.48
223,224,STP  Saint Patrick's Athletic FC  St Patrick's,IRL,-,-,0.000,1.000,1.500,2.5,1.908
224,225,LOK  PFC Lokomotiv Plovdiv 1926  Lokomotiv Plovdiv,BUL,0.000,-,-,-,-,0.0,4.4
225,226,JAB  FK Jablonec  Jablonec,CZE,-,-,0.000,-,-,0.0,4.395
226,227,RUZ  MFK Ružomberok  Ružomberok,SVK,-,1.000,-,-,-,1.0,3.166
227,228,MAT  SV Mattersburg  Mattersburg,AUT,-,0.000,0.000,-,-,0.0,3.915
228,228,RIE  SV Ried  Ried,AUT,-,0.000,0.000,-,-,0.0,3.915
229,230,AUK  SK Austria Kärnten  Austria Kärnten,AUT,0.000,0.000,-,-,-,0.0,3.915
230,231,GRA  Grazer AK  GAK,AUT,0.000,-,-,-,-,0.0,3.915
231,232,DER  Derry City FC  Derry,IRL,-,1.000,0.000,-,1.000,2.0,1.908
232,233,IFK  IFK Göteborg  Göteborg,SWE,-,0.000,-,0.000,1.000,1.0,2.838
233,234,AIK  AIK  AIK,SWE,-,-,1.000,-,-,1.0,2.838
234,235,VOJ  FK Vojvodina  Vojvodina,SRB,-,-,0.000,0.000,1.000,1.0,2.8
235,236,SEV  FK Sloboda Užice  Sloboda Užice,SRB,-,-,-,-,1.000,1.0,2.8
236,237,JER  Beitar Jerusalem FC  Beitar Jerusalem,ISR,-,0.000,0.000,0.000,-,0.0,3.775
237,238,HAP  Hapoel Kiryat Shmona FC  H. Kiryat Shmona,ISR,-,-,-,0.000,-,0.0,3.775
238,239,MTA  Maccabi Tel-Aviv FC  M. Tel-Aviv,ISR,0.000,-,0.000,-,-,0.0,3.775
239,240,ASH  FC Ashdod  Ashdod,ISR,0.000,-,-,-,-,0.0,3.775
240,241,TRN  FC Spartak Trnava  Spartak Trnava,SVK,-,0.000,-,0.000,0.500,0.5,3.166
241,242,APO  Apollon Limassol FC  Apollon,CYP,-,0.000,-,-,-,0.0,3.599
242,243,POL  KSP Polonia Warszawa  Polonia Warszawa,POL,-,-,-,-,1.000,1.0,2.508
243,244,GRO  Groclin Grodzisk Wielkopolski  Groclin Grodzisk Wielkopolski,POL,1.000,-,0.000,-,-,1.0,2.508
244,245,LIL  Lillestrøm SK  Lillestrøm,NOR,-,-,0.000,0.000,-,0.0,3.48
245,246,LYN  FK Lyn  Lyn,NOR,-,0.000,-,-,-,0.0,3.48
246,246,STA  IK Start  Start,NOR,-,0.000,-,-,-,0.0,3.48
247,248,HAJ  HNK Hajduk Split  Hajduk Split,CRO,0.000,-,0.000,0.000,1.000,1.0,2.466
248,249,SLA  NK Slaven Koprivnica  Slaven Koprivnica,CRO,-,-,0.000,0.000,1.000,1.0,2.466
249,250,RIJ  HNK Rijeka  Rijeka,CRO,0.000,0.000,-,-,1.000,1.0,2.466
250,251,DOM  NK Domžale  Domžale,SVN,2.000,0.000,0.000,0.000,-,2.0,1.391
251,252,SAR  FK Sarajevo  Sarajevo,BIH,-,0.000,0.000,-,1.500,1.5,1.749
252,253,MOR  FC ViOn Zlaté Moravce  Zlaté Moravce,SVK,-,-,0.000,-,-,0.0,3.166
253,254,DUK  FK Dukla Banská Bystrica  Banská Bystrica,SVK,0.000,-,-,-,-,0.0,3.166
254,255,RAB  FK Rabotnicki  Rabotnicki,MKD,0.000,0.000,1.000,0.000,1.000,2.0,1.066
255,256,BOH  Bohemian FC  Bohemians,IRL,-,-,-,-,1.000,1.0,1.908
256,257,HNK  FC Honka Espoo  Honka,FIN,-,-,-,0.000,1.000,1.0,1.899
257,258,LAH  FC Lahti  Lahti,FIN,-,-,-,-,1.000,1.0,1.899
258,258,TUR  FC Inter Turku  Inter Turku,FIN,-,-,-,-,1.000,1.0,1.899
259,260,TAM  Tampere United  Tampere United,FIN,-,-,1.000,0.000,-,1.0,1.899
260,261,MYP  Myllykosken Pallo -47  MYPA,FIN,1.000,0.000,0.000,-,-,1.0,1.899
261,262,MBR  NK Maribor  Maribor,SVN,-,0.000,-,-,1.500,1.5,1.391
262,263,DJU  Djurgårdens IF  Djurgården,SWE,0.000,0.000,-,0.000,-,0.0,2.838
263,264,HÄC  BK Häcken  Häcken,SWE,-,-,0.000,-,-,0.0,2.838
264,265,ÅTV  Åtvidabergs FF  Åtvidaberg,SWE,-,0.000,-,-,-,0.0,2.838
265,265,GEF  Gefle IF  Gefle,SWE,-,0.000,-,-,-,0.0,2.838
266,267,PAR  FC Partizan Minsk  Partizan Minsk,BLR,0.000,-,-,0.000,0.500,0.5,2.308
267,268,MIN  FC Dinamo Minsk  Dinamo Minsk,BLR,0.000,0.000,0.000,-,0.500,0.5,2.308
268,269,NAF  FC Naftan Novopolotsk  Naftan,BLR,-,-,-,-,0.500,0.5,2.308
269,270,BOR  FK Borac Čačak  Borac Čačak,SRB,-,-,-,0.000,-,0.0,2.8
270,271,BEZ  FK Bežanija  Bežanija,SRB,-,-,0.000,-,-,0.0,2.8
